#Gene	COSMIC_Tier1(n=578)	NEJM_Neuro(n=376)	PanCancer_SMGs(n=127)
GNB1	NA	NeuroD	NA
GNB3	NA	NeuroD	NA
IL6R	NA	NeuroD	NA
VEZF1	NA	NA	CancerSMG
MTOR	Tier1	NA	CancerSMG
LAMP2	NA	NeuroD	NA
NUTM1	Tier1	NA	NA
ANO10	NA	NeuroD	NA
MRPL39	NA	NeuroD	NA
EP300	Tier1	NA	CancerSMG
IL4I1	NA	NeuroD	NA
PPP1CC	NA	NeuroD	NA
CXADR	NA	NeuroD	NA
ITK	Tier1	NA	NA
ARNT	Tier1	NA	NA
IRS4	Tier1	NA	NA
TNFRSF14	Tier1	NA	NA
KEAP1	Tier1	NA	CancerSMG
CDK4	Tier1	NA	NA
CDK6	Tier1	NA	NA
RANBP2	Tier1	NeuroD	NA
TFG	Tier1	NA	NA
HOXA9	Tier1	NA	NA
USP8	Tier1	NA	NA
NCAM2	NA	NeuroD	NA
SMN1	NA	NeuroD	NA
KTN1	Tier1	NA	NA
PTK6	Tier1	NA	NA
MSH2	Tier1	NA	NA
ERCC3	Tier1	NA	NA
ERCC4	Tier1	NA	NA
ERCC5	Tier1	NA	NA
MSH6	Tier1	NA	NA
LGI4	NA	NeuroD	NA
EZH2	Tier1	NA	CancerSMG
CCNB1IP1	Tier1	NA	NA
TSHR	Tier1	NA	NA
SOX2	Tier1	NA	NA
SLC5A9	NA	NeuroD	NA
DRD1	NA	NeuroD	NA
HIP1	Tier1	NA	NA
FKRP	NA	NeuroD	NA
CEBPA	Tier1	NA	CancerSMG
AXIN2	Tier1	NA	CancerSMG
AXIN1	Tier1	NA	NA
ITPR3	NA	NeuroD	NA
NOP56	NA	NeuroD	NA
RB1	Tier1	NA	CancerSMG
GNB5	NA	NeuroD	NA
MED12	Tier1	NA	NA
ABCB7	NA	NeuroD	NA
TNNI3	NA	NeuroD	NA
SUZ12	Tier1	NA	NA
GNB4	NA	NeuroD	NA
CAMK2D	NA	NeuroD	NA
FCRL4	Tier1	NA	NA
YWHAE	Tier1	NA	NA
CHCHD2	NA	NeuroD	NA
KCND3	NA	NeuroD	NA
HNRNPA1	NA	NeuroD	NA
RAC1	Tier1	NA	NA
SBDS	Tier1	NA	NA
NR4A3	Tier1	NA	NA
CARD11	Tier1	NA	NA
PRKCB	NA	NeuroD	NA
